StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q3_5_TEXT,Q4,Q5,Q5_4_TEXT,Q6,Q6_4_TEXT,Q7,Q8,Q9,Q10,Q11,Q12_NPS_GROUP,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
2023-04-15 22:01:47,2023-04-15 22:07:20,0,35.149.240.10,100,332,1,2023-04-15 22:07:21,R_dhFcRL273UftbkR,,,,,42.262,-71.8007,anonymous,EN,2,1,3,,3,1,,2,,4,5,4,2,5,3,9,1,1,5,1,1,1,,
2023-04-15 23:03:14,2023-04-15 23:05:00,0,64.30.84.131,100,106,1,2023-04-15 23:05:01,R_1H0522inoYArlFX,,,,,42.2831,-71.7237,anonymous,EN,3,2,2,,1,4,"None of the above ",1,,3,3,2,2,3,1,6,2,3,2,1,1,3,"Comfort ","Price "
2023-04-16 06:31:14,2023-04-16 06:33:05,0,108.7.185.75,100,111,1,2023-04-16 06:33:06,R_3G7zNzopz38EEu2,,,,,42.4188,-71.1557,anonymous,EN,3,2,1,,1,4,none,4,none,1,3,2,2,1,1,0,2,3,1,1,2,2,never bought one. so can not say.,never bought one. so can not say.
2023-04-16 10:08:34,2023-04-16 10:09:40,0,68.191.34.148,100,66,1,2023-04-16 10:09:41,R_6xkGYpgjV7DuZ8Z,,,,,42.2917,-71.7858,anonymous,EN,2,2,2,,2,1,,2,,4,4,4,2,4,2,8,1,2,3,2,1,2,"Variety ","Price "
2023-04-16 10:30:08,2023-04-16 10:32:27,0,47.14.11.176,100,139,1,2023-04-16 10:32:27,R_32VKt46kIbEJYHS,,,,,42.2555,-71.7719,anonymous,EN,3,1,1,,4,"1,2,3",,2,,3,4,2,2,3,1,6,2,2,2,1,1,1,Colors,COMFORT
2023-04-16 15:26:15,2023-04-16 15:28:08,0,128.92.32.151,100,113,1,2023-04-16 15:28:09,R_2tMTJfzZN8QktvH,,,,,42.2624,-71.8011,anonymous,EN,2,2,1,,1,1,,1,,4,5,4,2,1,3,9,2,5,2,3,2,3,,
2023-04-16 17:19:52,2023-04-16 17:23:16,0,140.232.185.3,100,204,1,2023-04-16 17:23:17,R_ZKmrZqjQyQUi1PP,,,,,42.2474,-71.8069,anonymous,EN,3,2,1,,1,1,,1,,2,3,2,2,3,1,6,1,2,2,1,1,2,,
2023-04-16 20:51:00,2023-04-16 22:18:34,0,35.149.240.1,100,5253,1,2023-04-16 22:18:35,R_1PbCFHlN0f57tlL,,,,,42.262,-71.8007,anonymous,EN,3,2,1,,1,3,,4,,4,5,4,2,4,3,10,1,1,2,1,1,1,,
2023-04-17 10:25:53,2023-04-17 10:40:35,0,140.232.188.105,100,881,1,2023-04-17 10:40:36,R_1CszSLlFUBWM8yl,,,,,42.801,-71.3085,anonymous,EN,2,1,1,,1,2,,2,,5,5,4,1,3,3,9,1,3,2,2,2,2,quality,style
2023-04-20 14:20:10,2023-04-20 14:27:52,0,140.232.177.168,100,462,1,2023-04-20 14:27:52,R_b2yieLW9LoP8cxz,,,,,42.2474,-71.8069,anonymous,EN,2,2,4,,6,1,,1,,5,5,5,2,5,3,10,1,1,2,2,1,1,Quality and style,better colors
2023-04-23 13:42:50,2023-04-23 13:45:58,0,140.232.171.5,100,188,1,2023-04-23 13:45:58,R_2ctM5aIsssYIN0U,,,,,42.2474,-71.8069,anonymous,EN,2,1,1,,3,"1,2",,1,,4,3,3,2,3,1,6,1,2,3,1,2,2,The athletic look/feel,better pricing for clothing
2023-04-23 14:55:53,2023-04-23 14:58:23,0,71.10.220.13,100,149,1,2023-04-23 14:58:23,R_3mknTUUYCQMSexc,,,,,42.2474,-71.8069,anonymous,EN,2,1,1,,4,"1,2,3",,1,,4,4,3,1,3,2,8,1,2,5,2,1,3,quality,they can decrease their price
